PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,11/18/2017,"<a ng-href=""/game/0021700229"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700229"">ORL vs. UTA",L,24,8,3,11,27.3,2,3,66.7,0,0,-,1,1,2,1,3,2,1,2,-7
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,10/27/2017,"<a ng-href=""/game/0021700071"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700071"">ORL vs. SAS",W,23,15,6,9,66.7,3,3,100.0,0,0,-,1,1,2,3,0,2,3,1,17
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,12/15/2017,"<a ng-href=""/game/0021700420"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700420"">ORL vs. POR",L,35,26,12,20,60.0,2,5,40.0,0,0,-,3,11,14,1,1,1,3,3,-5
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,11/29/2017,"<a ng-href=""/game/0021700304"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700304"">ORL vs. OKC",W,31,15,7,13,53.8,0,4,0.0,1,2,50.0,0,7,7,7,0,0,0,3,14
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,11/08/2017,"<a ng-href=""/game/0021700160"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700160"">ORL vs. NYK",W,33,24,9,16,56.3,3,6,50.0,3,3,100.0,1,4,5,1,4,1,1,2,16
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,10/18/2017,"<a ng-href=""/game/0021700005"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700005"">ORL vs. MIA",W,32,19,6,12,50.0,0,3,0.0,7,8,87.5,2,11,13,1,2,2,1,1,11
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,12/13/2017,"<a ng-href=""/game/0021700405"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700405"">ORL vs. LAC",L,31,14,7,16,43.8,0,2,0.0,0,0,-,2,10,12,3,4,2,2,1,-2
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,11/20/2017,"<a ng-href=""/game/0021700243"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700243"">ORL vs. IND",L,29,25,11,19,57.9,3,6,50.0,0,0,-,7,6,13,2,1,1,4,4,-9
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,12/01/2017,"<a ng-href=""/game/0021700318"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700318"">ORL vs. GSW",L,26,6,3,7,42.9,0,1,0.0,0,0,-,2,5,7,2,0,0,0,1,-10
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,12/08/2017,"<a ng-href=""/game/0021700370"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700370"">ORL vs. DEN",L,32,21,10,19,52.6,1,5,20.0,0,0,-,4,13,17,2,1,4,4,1,-13
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,11/03/2017,"<a ng-href=""/game/0021700120"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700120"">ORL vs. CHI",L,29,14,6,11,54.5,2,3,66.7,0,0,-,0,3,3,2,1,0,5,2,-11
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,11/05/2017,"<a ng-href=""/game/0021700138"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700138"">ORL vs. BOS",L,32,13,6,15,40.0,1,4,25.0,0,0,-,1,9,10,7,2,0,0,0,-5
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,10/24/2017,"<a ng-href=""/game/0021700050"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700050"">ORL vs. BKN",W,32,12,6,17,35.3,0,5,0.0,0,0,-,0,9,9,1,0,3,1,1,16
"<a ng-href=""/player/202696"" title=""View Stats Profile"" href=""https://stats.nba.com/player/202696"">Nikola Vucevic",ORL,12/06/2017,"<a ng-href=""/game/0021700355"" title=""View Box Score"" href=""https://stats.nba.com/game/0021700355"">ORL vs. ATL",W,40,22,9,19,47.4,2,7,28.6,2,2,100.0,5,11,16,4,2,4,2,3,12
